編號,IG帳號,店名/品牌,類型,IG粉絲數(估),地區/門市,經營內容,Email/聯絡方式,備註
36,@mulivogue,Muli Vogue 正韓女裝,網拍,中大型,全台寄送,正韓女裝/2026春夏/韓國連線,LINE社群,官網 mulivogue.co
37,@cc16korea,C.C16 KOREA 韓國服飾,實體+網拍,中型,桃園龜山區實體店,韓國東大門女裝/每週上新/LINE社群,IG私訊,有FB社團+LINE社群
38,@_lala.tw,Lala美妝代購/團購/選物,代購/團購,中小型,全台寄送,韓國美妝代購+服飾選物,IG私訊,美妝+服飾複合經營
39,@09women_official,09 Women,網拍,中型,全台寄送,韓國女裝,IG私訊,官方帳號
40,@meya_taichung,MEYA 韓國服飾,實體+批發,中型,台中,韓國品牌選品/10年經驗/批發供應,IG私訊,提供批發合作
41,@viiandco,VII & Co,實體,中型,台北東區(敦化南路)/新崛江,韓系質感女裝選品,IG私訊,雙城市門市
42,@lina__yang,Lina 韓國代購,代購/網拍,中型,全台寄送,韓國代購/SAM'U等品牌開團/旅遊,IG私訊,韓國在地資源豐富
43,@da_ashouse,DA / As House,實體,中型,桃園中壢(中平路20號/42號),韓國服飾兩店面/每週新品,034221509 / 034220003,DA+As House雙店
44,@unnies.in_kr,Unnies 韓國代購,代購/網拍,中小型,全台寄送,韓國Oliveyoung美妝+服飾代購,IG私訊,韓國直送
45,@dia_highend,Dia韓國服飾精品,實體,中型,高雄左營(南屏路406號),韓國服飾精品/天天上新/僅此一家,IG私訊,營業14:30-22:00
46,@n34shop,N34 Shop Taipei,實體,中小型,台北東區,韓系質感女裝/每週新品,IG私訊,東區門市
47,@kenzi_korea,Kenzi精品服飾,實體,中型,高雄鼓山(青海路133號),正韓東大門/農16商圈/天天上新,IG私訊,營業12:00-20:00
48,@amanda_co_tw,AMANDA & CO 体豔,實體,中型,高雄鼓山(裕誠路2072號),正韓女裝/新品上架,IG私訊,營業12:00-20:00
49,@linklight_tw,琳光女裝 Linklight,工作室+網拍,中小型,預約制工作室,韓國設計小眾款/現貨限量/貨到付款,IG私訊,預約制試穿
50,@showroom_korea_tw,Showroom 正韓服飾,實體,中型,台北大安區(安和路一段21巷28號),韓國製造Made in Korea/每週空運到店,IG私訊,忠孝敦化站3號出口步行3分
